headword,CEFR,example_en,translation_ar,example_ar
example,A1,Show me an example.,مثال,أرني مثالا.
check,A1,Check your answers.,يفحص,تحقق من إجاباتك.
leg,A1,He hurt his leg.,رجل,لقد أصيب بساقه.
dark,A1,It gets dark at six.,مظلم,يحل الظلام في السادسة.
laugh,A1,They laugh at jokes.,يضحك,يضحكون على النكات.
forget,A1,Don’t forget your keys.,ينسى,لا تنس مفاتيحك.
enjoy,A1,I enjoy the movie.,يتمتع,أنا أستمتع بالفيلم.
cold,A1,It is cold today.,بارد,الجو بارد اليوم.
science,A1,She loves science class.,علوم,تحب صف العلوم.
green,A1,Pick a green apple.,أخضر,اختر تفاحة خضراء.
memory,A1,That memory is special.,ذاكرة,تلك الذاكرة خاصة.
card,A1,She sent a card.,بطاقة,لقد أرسلت بطاقة.
seat,A1,Take a seat here.,مقعد,إجلس هنا.
nice,A1,That was nice of you.,لطيف - جيد,كان ذلك لطيفا منك.
spring,A1,Spring brings flowers.,ربيع,الربيع يجلب الزهور.
radio,A1,Listen to the radio.,راديو,استمع إلى الراديو.
visit,A1,They visit us often.,يزور,يزوروننا في كثير من الأحيان.
imagine,A1,Imagine a sunny beach.,يتصور,تخيل شاطئ مشمس.
tonight,A1,We dance tonight.,الليلة,نحن نرقص الليلة.
ball,A1,They play ball after school.,كرة,يلعبون الكرة بعد المدرسة.
finish,A1,Finish your homework.,ينهي,قم بإنهاء واجباتك المنزلية.
yourself,A1,Take care of yourself.,نفسك,اعتنِ بنفسك.
peace,A1,Enjoy the peace and quiet.,سلام,استمتع بالسلام والهدوء.
shake,A1,Shake the bottle well.,هزة,رج الزجاجة جيداً.
fly,A1,Birds fly in the sky.,سافر,الطيور تطير في السماء.
interview,A1,She has an interview today.,مقابلة,لديها مقابلة اليوم.
chair,A1,Please sit on the chair.,كرسي,من فضلك اجلس على الكرسي.
fish,A1,They catch fish to eat.,سمكة,يصطادون السمك ليأكلوه.
camera,A1,He bought a camera.,آلة تصوير,اشترى كاميرا.
trip,A1,We plan a trip.,رحلة,نحن نخطط لرحلة.
evening,A1,They walk every evening.,مساء,يمشون كل مساء.
worry,A1,Don’t worry about that.,يقلق,لا تقلق بشأن ذلك.
writer,A1,She is a writer.,الكاتب,هي كاتبة.
shoulder,A1,He carries it on his shoulder.,كتف,يحمله على كتفه.
middle,A1,Stand in the middle.,وسط,قف في المنتصف.
sea,A1,They swim in the sea.,بحر,يسبحون في البحر.
dream,A1,He had a dream.,حلم,كان لديه حلم.
bar,A1,He ate a chocolate bar.,لوح / قطعة,لقد أكل قطعة من الشوكولاتة.
beautiful,A1,The rose is beautiful.,جميل,الوردة جميلة.
magazine,A1,She reads a magazine.,مجلة,هي تقرأ مجلة.
hotel,A1,They booked a hotel.,الفندق,لقد حجزوا فندقًا.
heavy,A1,The box is heavy.,ثقيل,الصندوق ثقيل.
bag,A1,She carries a bag.,شنطة,إنها تحمل حقيبة.
sing,A1,They sing loudly.,يغني,يغنون بصوت عال.
owner,A1,The owner arrived late.,مالك,وصل المالك متأخرا.
machine,A1,He fixed the machine.,آلة,لقد أصلح الآلة.
address,A1,Write your address.,عنوان,اكتب عنوانك.
item,A1,Select an item.,غرض,حدد عنصرًا.
coach,A1,The coach helps the team.,مدرب,المدرب يساعد الفريق .
yard,A1,They play in the yard.,ساحة,يلعبون في الفناء.
garden,A1,She waters the garden.,حديقة,إنها تسقي الحديقة.
collection,A1,She has many coins in her collection.,مجموعة,لديها العديد من العملات المعدنية في مجموعتها.
partner,A1,He is my business partner.,شريك,إنه شريكي التجاري.
kitchen,A2,She cooked dinner in the kitchen.,مطبخ,قامت بطهي العشاء في المطبخ.
wish,A2,I wish you a happy birthday.,يتمنى,أتمنى لك عيد ميلاد سعيد.
painting,A2,They hung the painting above the fireplace.,لوحة,علقوا اللوحة فوق المدفأة.
scientist,A2,The scientist made a new discovery.,عالم,توصل العالم إلى اكتشاف جديد.
mouth,A2,She covered her mouth when she laughed.,فم,غطت فمها عندما ضحكت.
newspaper,A2,He reads the newspaper over breakfast.,صحيفة,يقرأ الجريدة أثناء تناول الإفطار.
smile,A2,She gave him a friendly smile.,يبتسم,أعطته ابتسامة ودية.
interesting,A2,That movie was really interesting.,مثير للاهتمام,كان هذا الفيلم مثيرًا للاهتمام حقًا.
rich,A2,He became rich after selling his startup.,ثري,أصبح ثريًا بعد بيع شركته الناشئة.
dinner,A2,We had pasta for dinner last night.,عشاء,تناولنا المعكرونة على العشاء الليلة الماضية.
vote,A2,They will vote for the new class representative.,تصويت,سوف يصوتون لممثل الفصل الجديد.
front,A2,He stood in front of the class.,أمام,ووقف أمام الفصل.
wind,A2,The wind is strong today.,رياح,الرياح قوية اليوم.
key,A2,Don’t forget to take your house key.,مفتاح,لا تنس أن تأخذ مفتاح منزلك.
fast,A2,She learned to ride a bike very fast.,سريع,لقد تعلمت ركوب الدراجة بسرعة كبيرة.
speech,A2,He gave a short speech at the wedding.,خطاب,ألقى كلمة قصيرة في حفل الزفاف.
successful,A2,He was successful in passing the driving test.,ناجح,ونجح في اجتياز اختبار القيادة.
video,A2,They watched a funny video online.,فيديو,لقد شاهدوا مقطع فيديو مضحكًا عبر الإنترنت.
restaurant,A2,They had lunch at a new Italian restaurant.,مطعم,تناولوا الغداء في مطعم إيطالي جديد.
bird,A2,A small bird landed on the windowsill.,طائر,هبط طائر صغير على حافة النافذة.
corner,A2,He turned the corner and saw the bus arriving.,ركن,استدار عند الزاوية ورأى وصول الحافلة.
sky,A2,The sky is clear today.,سماء,السماء صافية اليوم.
plane,A2,The plane landed safely at the airport.,طائرة,وهبطت الطائرة بسلام في المطار.
nine,A2,She has nine books on her shelf.,تسعة,لديها تسعة كتب على الرف لها.
conversation,A2,They had a brief conversation in the hallway.,محادثة,أجروا محادثة قصيرة في الردهة.
touch,A2,Can I touch the fabric to feel its texture?,يلمس,هل يمكنني لمس القماش لأشعر بملمسه؟
please,A2,Please pass the salt.,لو سمحت,من فضلك مرر الملح.
sleep,A2,She needs eight hours of sleep.,ينام,إنها تحتاج إلى ثماني ساعات من النوم.
camp,A2,They went to camp every summer as children.,مخيم,كانوا يذهبون إلى المخيم كل صيف وهم أطفال.
brain,A2,The brain controls all functions of the body.,مخ,يتحكم الدماغ في جميع وظائف الجسم.
afternoon,A2,Let's meet this afternoon.,بعد الظهر,دعونا نلتقي بعد ظهر هذا اليوم.
am,A2,I am happy to help.,أكون,يسعدني تقديم المساعدة.
weekend,A2,They relax on the weekend.,عطلة نهاية الأسبوع,يرتاحون في عطلة نهاية الأسبوع.
date,A2,Please write the date at the top of the page.,تاريخ,يرجى كتابة التاريخ في أعلى الصفحة.
sorry,A2,I’m sorry for being late.,آسف,أنا آسف لتأخري.
fan,A2,He is a big fan of the local football team.,معجب,إنه معجب كبير بفريق كرة القدم المحلي.
hole,A2,The ball fell into a hole in the ground.,فتحة,سقطت الكرة في حفرة في الأرض.
stone,A2,She skipped a stone across the lake.,حجر,لقد تخطيت حجرًا عبر البحيرة.
introduce,A2,Let me introduce you to my friend.,يقدم,اسمحوا لي أن أقدم لكم لصديقي.
driver,A2,The driver waited patiently at the traffic light.,سائق,انتظر السائق بصبر عند إشارة المرور.
park,A2,Let’s park the car near the entrance.,حديقة,دعونا ركن السيارة بالقرب من المدخل.
spot,A2,He found a spot to sit under the tree.,بقعة,وجد مكانًا ليجلس فيه تحت الشجرة.
ice,A2,The pond froze over and turned into ice.,الجليد,تجمدت البركة وتحولت إلى جليد.
boat,A2,They rented a small boat for a lake tour.,قارب,استأجروا قاربًا صغيرًا للقيام بجولة في البحيرة.
drink,A2,Would you like something to drink?,شرب,هل تريد أن تشرب شيئا؟
sun,A2,The sun rose at six o’clock this morning.,شمس,أشرقت الشمس في السادسة من صباح هذا اليوم.
truck,A2,The truck delivered the furniture this morning.,شاحنة,قامت الشاحنة بتسليم الأثاث هذا الصباح.
mountain,A2,They climbed the mountain at dawn.,جبل,صعدوا الجبل عند الفجر.
survey,A2,They conducted a survey among students.,استطلاع,أجروا استطلاعا بين الطلاب.
winter,A2,They love playing in the snow in winter.,شتاء,إنهم يحبون اللعب في الثلج في الشتاء.
hide,A2,They hide the cookies in a secret cupboard.,يخفي,يخفون ملفات تعريف الارتباط في خزانة سرية.
club,A2,He joined the tennis club.,نادي,انضم إلى نادي التنس.
farm,A2,They visited a dairy farm last weekend.,مزرعة,قاموا بزيارة مزرعة ألبان في نهاية الأسبوع الماضي.
reader,A2,He is an avid reader of science fiction.,قارئ,وهو قارئ متعطش للخيال العلمي.
band,A2,The band played at the wedding.,فرقة,عزفت الفرقة في حفل الزفاف.
horse,A2,They rode a horse through the countryside.,حصان,ركبوا حصانًا عبر الريف.
interested,A2,I am interested in your proposal.,مهتم,أنا مهتم باقتراحك.
ride,A2,They went for a bike ride.,يركب,ذهبوا لركوب الدراجة.
reporter,A2,The reporter asked several questions.,مراسل,وطرح المراسل عدة أسئلة.
tool,A2,A hammer is a basic tool.,أداة,المطرقة هي أداة أساسية.
bright,A2,The sun is bright today.,ساطع,الشمس مشرقة اليوم.
guest,A2,They invited a guest speaker to the event.,ضيف,قاموا بدعوة متحدث ضيف إلى هذا الحدث.
block,A2,He placed the block on top of the tower.,حاجز,لقد وضع الكتلة على قمة البرج.
feed,A2,Please feed the cat before you leave.,يٌطعم,يرجى إطعام القطة قبل أن تغادر.
collect,A2,They collect stamps from around the world.,يجمع,يقومون بجمع الطوابع من جميع أنحاء العالم.
lesson,A2,Today's lesson is about the solar system.,درس,درس اليوم يدور حول النظام الشمسي.
river,A2,They went fishing by the river.,نهر,ذهبوا للصيد بجانب النهر.
living,A2,They are living in a rented apartment.,يعيش,وهم يعيشون في شقة مستأجرة.
tomorrow,A2,They will arrive tomorrow.,غداً,سوف يصلون غدا.
ear,A2,He whispered in her ear.,أذن,همس في أذنها.
shop,A2,They plan to shop for groceries this afternoon.,محل,إنهم يخططون للتسوق لشراء البقالة بعد ظهر هذا اليوم.
cry,A2,She began to cry when she heard the news.,يبكي,وبدأت بالبكاء عندما سمعت الخبر.
warm,A2,They felt warm sunlight on their faces.,دافيء,شعروا بأشعة الشمس الدافئة على وجوههم.
baseball,A2,He loves playing baseball with friends.,البيسبول,يحب لعب البيسبول مع الأصدقاء.
egg,A2,She boiled an egg for breakfast.,بيضة,لقد سلقَت بيضة لتناول الإفطار.
anybody,A2,Anybody can join the club if they apply.,أي شخص,يمكن لأي شخص الانضمام إلى النادي إذا تقدم بطلب.
review,A2,I will review my notes before the exam.,مراجعة,سأقوم بمراجعة ملاحظاتي قبل الامتحان.
coffee,A2,He drinks coffee every morning.,قهوة,يشرب القهوة كل صباح.
afraid,A2,She was afraid of the dark.,خائف,وكانت خائفة من الظلام.
quarter,A2,She walked a quarter of a mile.,ربع,مشيت ربع ميل.
wonderful,A2,They had a wonderful time at the party.,رائع,لقد قضوا وقتا رائعا في الحفلة.
cook,A2,I will cook pasta for dinner tonight.,يطبخ,سأقوم بطهي المعكرونة على العشاء الليلة.
shoe,A2,She lost one shoe while running.,حذاء,لقد فقدت حذاء واحد أثناء الجري.
clothes,A2,He packed his clothes for the trip.,ملابس,حزم ملابسه للرحلة.
quiet,A2,The library is very quiet.,هادئ,المكتبة هادئة جداً.
dress,A2,She will dress the baby before the outing.,فستان,سوف تلبس الطفل قبل النزهة.
bone,A2,He fractured a bone in his arm during the fall.,عظم,أصيب بكسر في عظمة ذراعه أثناء السقوط.
below,A2,The temperature dropped below zero last night.,أقل,انخفضت درجة الحرارة إلى ما دون الصفر الليلة الماضية.
